time, 0.00              ,   1.0000000000E+00,   2.0000000000E+00,   3.0000000000E+00,   4.0000000000E+00,   5.0000000000E+00,   6.0000000000E+00,   7.0000000000E+00,   8.0000000000E+00,   9.0000000000E+00,   1.0000000000E+01,   1.1000000000E+01,   1.2000000000E+01,   1.3000000000E+01,   1.4000000000E+01,   1.5000000000E+01,   1.6000000000E+01,   1.7000000000E+01,   1.8000000000E+01,   1.9000000000E+01,   2.0000000000E+01,   2.1000000000E+01,   2.2000000000E+01,   2.3000000000E+01,   2.4000000000E+01,   2.5000000000E+01,   2.6000000000E+01,   2.7000000000E+01,   2.8000000000E+01,   2.9000000000E+01,   3.0000000000E+01
u[1], 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              
u[2], 0.00              ,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00
x[1], 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              
x[2], 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              
x[3], 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              
x[4], 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              
x[5], 0.00              , 0.00              ,   2.5000000000E-01,   5.9633275000E-01,   9.5802649489E-01,   1.2954958901E+00,   1.5921505156E+00,   1.8437059588E+00,   2.0520636570E+00,   2.2218815454E+00,   2.3587142297E+00,   2.4680564226E+00,   2.5548963074E+00,   2.6235486483E+00,   2.6776345684E+00,   2.7201323700E+00,   2.7534574880E+00,   2.7795492482E+00,   2.7999532862E+00,   2.8158947463E+00,   2.8283407508E+00,   2.8380523670E+00,   2.8456270882E+00,   2.8515331373E+00,   2.8561369219E+00,   2.8597248646E+00,   2.8625206771E+00,   2.8646989770E+00,   2.8663959938E+00,   2.8677179668E+00,   2.8687477223E+00
x[6], 0.00              , 0.00              , 0.00              ,   2.5000000000E-01,   5.9633275000E-01,   9.5802649489E-01,   1.2954958901E+00,   1.5921505156E+00,   1.8437059588E+00,   2.0520636570E+00,   2.2218815454E+00,   2.3587142297E+00,   2.4680564226E+00,   2.5548963074E+00,   2.6235486483E+00,   2.6776345684E+00,   2.7201323700E+00,   2.7534574880E+00,   2.7795492482E+00,   2.7999532862E+00,   2.8158947463E+00,   2.8283407508E+00,   2.8380523670E+00,   2.8456270882E+00,   2.8515331373E+00,   2.8561369219E+00,   2.8597248646E+00,   2.8625206771E+00,   2.8646989770E+00,   2.8663959938E+00,   2.8677179668E+00
x[7], 0.00              , 0.00              ,   1.0000000000E+00,   2.7101690000E+00,   4.5594510086E+00,   6.1789688699E+00,   7.4359921126E+00,   8.3399137943E+00,   8.9575767100E+00,   9.3650374068E+00,   9.6272718104E+00,   9.7931134578E+00,   9.8966985541E+00,   9.9608292843E+00,   1.0000285975E+01,   1.0024455211E+01,   1.0039214512E+01,   1.0048208171E+01,   1.0053680373E+01,   1.0057006546E+01,   1.0059026887E+01,   1.0060253475E+01,   1.0060997923E+01,   1.0061449651E+01,   1.0061723717E+01,   1.0061889980E+01,   1.0061990836E+01,   1.0062052015E+01,   1.0062089123E+01,   1.0062111632E+01,   1.0062125285E+01
